"","id","name","sensor","unit","dur_code","collection_method","start_date","end_date"
"68","BDL","BELDON LANDING","EL COND","uS/cm","hourly","DATA XCHG-DWR DES",2008-02-27,2021-06-01
"69","BDL","BELDON LANDING","RIV STG","FEET","hourly","DATA XCHG-DWR DES",1988-09-22,2021-06-01
"70","BDL","BELDON LANDING","TEMP W","DEG F","hourly","DATA XCHG-DWR DES",2008-02-27,2021-06-01
"71","BDL","BELDON LANDING","DIS OXY","MG/L","hourly","DATA XCHG-DWR DES",2017-12-01,2021-06-01
"72","BDL","BELDON LANDING","PH VAL","PH","hourly","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"73","BDL","BELDON LANDING","TURB W","NTU","hourly","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"74","BDL","BELDON LANDING","EL CND","mS/cm","hourly","MICROWAVE",1988-09-29,2008-02-27
"75","BEN","MOKELUMNE R @ BENSON'S FERRY NR THORNTON","BAT VOL","VOLTS","event","SATELLITE",1995-02-24,2021-06-01
"76","BEN","MOKELUMNE R @ BENSON'S FERRY NR THORNTON","RIV STG","FEET","event","SATELLITE",1995-02-24,2021-06-01
"77","BEN","MOKELUMNE R @ BENSON'S FERRY NR THORNTON","RIV STG","FEET","hourly","SATELLITE",1984-01-01,2021-06-01
"78","BEN","MOKELUMNE R @ BENSON'S FERRY NR THORNTON","BAT VOL","VOLTS","hourly","SATELLITE",1995-01-01,2012-09-04
"79","BEN","MOKELUMNE R @ BENSON'S FERRY NR THORNTON","STAGE F","FEET","hourly","DATA XCHG-NWS",2009-10-07,2009-10-07
"80","BEN","MOKELUMNE R @ BENSON'S FERRY NR THORNTON","RIVST88","FEET","event","COMPUTED",2006-02-01,2006-09-30
"81","BEN","MOKELUMNE R @ BENSON'S FERRY NR THORNTON","RIVST88","FEET","hourly","COMPUTED",2006-02-01,2006-09-30
"82","BLI","BLACKLOCK ISLAND","RIV STG","FEET","hourly","SATELLITE",2006-02-02,2006-02-28
"83","BLL","BLACKLOCK (NE1)","BAR PRE","INCHES","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"84","BLL","BLACKLOCK (NE1)","BAT VOL","VOLTS","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"85","BLL","BLACKLOCK (NE1)","EL COND","uS/cm","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"86","BLL","BLACKLOCK (NE1)","RAINTIP","INCHES","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"87","BLL","BLACKLOCK (NE1)","RES ELE","FEET","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"88","BLL","BLACKLOCK (NE1)","RIV STG","FEET","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"89","BLL","BLACKLOCK (NE1)","TEMP W","DEG F","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"90","BLL","BLACKLOCK (NE1)","DIS OXY","MG/L","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"91","BLL","BLACKLOCK (NE1)","WIND DR","DEG","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"92","BLL","BLACKLOCK (NE1)","WIND SP","MPH","event","DATA XCHG-DWR DES",2009-05-15,2021-06-01
"93","BLL","BLACKLOCK (NE1)","BAR PRE","INCHES","hourly","DATA XCHG-DWR DES",2005-01-07,2021-06-01
"94","BLL","BLACKLOCK (NE1)","BAT VOL","VOLTS","hourly","DATA XCHG-DWR DES",2005-02-24,2021-06-01
"95","BLL","BLACKLOCK (NE1)","EL COND","uS/cm","hourly","DATA XCHG-DWR DES",2005-01-07,2021-06-01
"96","BLL","BLACKLOCK (NE1)","RAINTIP","INCHES","hourly","DATA XCHG-DWR DES",2005-01-07,2021-06-01
"97","BLL","BLACKLOCK (NE1)","RES ELE","FEET","hourly","DATA XCHG-DWR DES",2006-02-28,2021-06-01
"98","BLL","BLACKLOCK (NE1)","RIV STG","FEET","hourly","DATA XCHG-DWR DES",2005-01-07,2021-06-01
"99","BLL","BLACKLOCK (NE1)","TEMP W","DEG F","hourly","DATA XCHG-DWR DES",2005-01-07,2021-06-01
"100","BLL","BLACKLOCK (NE1)","DIS OXY","MG/L","hourly","DATA XCHG-DWR DES",2007-05-14,2021-06-01
"101","BLL","BLACKLOCK (NE1)","WIND DR","DEG","hourly","DATA XCHG-DWR DES",2005-01-07,2021-06-01
"102","BLL","BLACKLOCK (NE1)","WIND SP","MPH","hourly","DATA XCHG-DWR DES",2005-01-07,2021-06-01
"103","BOC","BOCA RESERVOIR","ABV TOC","AF","daily","COMPUTED",2012-06-01,2021-06-01
"104","BOC","BOCA RESERVOIR","RES ELE","FEET","daily","COMPUTED",2014-07-01,2021-06-01
"105","BOC","BOCA RESERVOIR","INFLOW","CFS","daily","DATA XCHG-USACE SAC",2017-07-01,2021-06-01
"106","BOC","BOCA RESERVOIR","OUTFLOW","CFS","daily","DATA XCHG-USACE SAC",2017-07-01,2021-06-01
"107","BOC","BOCA RESERVOIR","STORAGE","AF","daily","COMPUTED",2014-07-01,2021-06-01
"108","BOC","BOCA RESERVOIR","TOC STO","AF","daily","DATA XCHG-USACE SAC",2000-10-20,2021-06-01
"109","BOC","BOCA RESERVOIR","BAT VOL","VOLTS","event","SATELLITE",2006-03-24,2021-06-01
"110","BOC","BOCA RESERVOIR","RES ELE","FEET","event","SATELLITE",2006-03-24,2021-06-01
"111","BOC","BOCA RESERVOIR","STORAGE","AF","event","SATELLITE",2006-03-24,2021-06-01
"112","BOC","BOCA RESERVOIR","REL SCH","CFS","event","MANUAL ENTRY",2011-02-16,2021-06-01
"113","BOC","BOCA RESERVOIR","STORAGE","AF","monthly","MANUAL ENTRY",1955-10-01,2021-06-01
"114","BOC","BOCA RESERVOIR","DIS PWR","CFS","hourly","SATELLITE",1995-02-01,2006-03-20
"115","BOC","BOCA RESERVOIR","FLOW","CFS","hourly","COMPUTED",1992-06-17,2006-03-20
"116","BOC","BOCA RESERVOIR","RES ELE","FEET","hourly","SATELLITE",1990-07-23,2006-03-20
"117","BOC","BOCA RESERVOIR","STORAGE","AF","hourly","COMPUTED",1990-08-29,2006-03-20
"118","BOC","BOCA RESERVOIR","RIV STG","FEET","hourly","SATELLITE",1990-07-23,1999-04-30
"119","BOC","BOCA RESERVOIR","RAIN","INCHES","hourly","SATELLITE",1990-07-23,1997-01-20
"120","BPB","BURNEY CK AT PARK AVE AT BURNEY STATION","BAT VOL","VOLTS","event","SATELLITE",2018-02-26,2021-06-01
"121","BPB","BURNEY CK AT PARK AVE AT BURNEY STATION","RIV STG","FEET","event","SATELLITE",2018-02-26,2021-06-01
"122","BRC","BEAR CREEK NEAR LODI","RAINTIP","INCHES","event","ALERT",1996-10-01,1997-06-18
"123","BRC","BEAR CREEK NEAR LODI","RIV STG","FEET","event","ALERT",1996-10-01,1997-06-18
"124","BRC","BEAR CREEK NEAR LODI","PPT INC","INCHES","daily","COMPUTED",1988-12-28,1997-06-16
"125","BRY","SACRAMENTO RIVER AT BRYTE","RIV STG","FEET","hourly","MICROWAVE",1984-01-01,2000-02-10
"126","BRY","SACRAMENTO RIVER AT BRYTE","BAR PRE","INCHES","hourly","MICROWAVE",1988-02-22,1999-03-16
"127","BRY","SACRAMENTO RIVER AT BRYTE","BAT VOL","VOLTS","hourly","MICROWAVE",1995-01-01,1999-03-16
"128","BRY","SACRAMENTO RIVER AT BRYTE","RAIN","INCHES","hourly","MICROWAVE",1984-01-01,1999-03-16
"129","BRY","SACRAMENTO RIVER AT BRYTE","RAINTIP","INCHES","hourly","MICROWAVE",1996-10-20,1999-03-16
"130","BRY","SACRAMENTO RIVER AT BRYTE","PPT INC","INCHES","daily","COMPUTED",1996-12-01,1999-03-15
"131","BSO","BUTTE SLOUGH AT OUTFALL GATES","RIV STG","FEET","event","SATELLITE",1998-10-03,2021-06-01
"132","BSO","BUTTE SLOUGH AT OUTFALL GATES","BAT VOL","VOLTS","hourly","SATELLITE",1998-10-09,2021-06-01
"133","BSO","BUTTE SLOUGH AT OUTFALL GATES","RIV STG","FEET","hourly","SATELLITE",1998-10-09,2021-06-01
"134","BSO","BUTTE SLOUGH AT OUTFALL GATES","FLOW","CFS","hourly","COMPUTED",2001-01-01,2012-04-01
"135","BSO","BUTTE SLOUGH AT OUTFALL GATES","TEMP W","DEG F","hourly","SATELLITE",1998-10-09,2012-04-01
"136","BSO","BUTTE SLOUGH AT OUTFALL GATES","FLOW","CFS","event","COMPUTED",1998-10-03,1999-05-28
"137","BTG","BUTTE CK AT COLUSA/GRIDLEY RD","RIV STG","FEET","event","SATELLITE",1999-07-29,2021-06-01
"138","BTG","BUTTE CK AT COLUSA/GRIDLEY RD","BAT VOL","VOLTS","hourly","SATELLITE",1999-07-29,2021-06-01
"139","BTG","BUTTE CK AT COLUSA/GRIDLEY RD","RIV STG","FEET","hourly","SATELLITE",1999-07-29,2021-06-01
"140","BTG","BUTTE CK AT COLUSA/GRIDLEY RD","TEMP W","DEG F","hourly","SATELLITE",1999-07-29,2012-04-04
"141","BWC","BUTTE CREEK NR WESTERN CANAL","M FLOW","CFS","daily","COMPUTED",1999-07-21,2012-03-12
"142","BWC","BUTTE CREEK NR WESTERN CANAL","FLOW","CFS","event","COMPUTED",1997-03-20,2012-03-12
"143","BWC","BUTTE CREEK NR WESTERN CANAL","RIV STG","FEET","event","SATELLITE",1997-03-20,2012-03-12
"144","BWC","BUTTE CREEK NR WESTERN CANAL","BAT VOL","VOLTS","hourly","SATELLITE",1997-06-05,2012-03-12
"145","BWC","BUTTE CREEK NR WESTERN CANAL","FLOW","CFS","hourly","COMPUTED",1997-06-06,2012-03-12
"146","BWC","BUTTE CREEK NR WESTERN CANAL","RIV STG","FEET","hourly","SATELLITE",1997-06-06,2012-03-12
"147","BWC","BUTTE CREEK NR WESTERN CANAL","TEMP W","DEG F","hourly","SATELLITE",1998-08-27,2012-03-12
"148","BYL","BRYTE LAB","BAT VOL","VOLTS","event","SATELLITE",2013-07-16,2021-06-01
"149","BYL","BRYTE LAB","RIV STG","FEET","event","SATELLITE",2013-07-16,2021-06-01
"150","CBU","CLAVEY R NR BUCK MEADOWS","BAT VOL","VOLTS","event","SATELLITE",2009-12-07,2013-08-20
"151","CBU","CLAVEY R NR BUCK MEADOWS","FLOW","CFS","event","COMPUTED",2009-12-07,2013-08-20
"152","CBU","CLAVEY R NR BUCK MEADOWS","RIV STG","FEET","event","SATELLITE",2009-12-07,2013-08-20
"153","CCK","CANTUA CREEK NEAR MT WHITNEY AVENUE","RIV STG","FEET","event","SATELLITE",2013-05-16,2021-06-01
"154","CCK","CANTUA CREEK NEAR MT WHITNEY AVENUE","BAT VOL","VOLTS","hourly","SATELLITE",1997-11-10,2021-06-01
"155","CCK","CANTUA CREEK NEAR MT WHITNEY AVENUE","RIV STG","FEET","hourly","SATELLITE",1997-12-04,2021-06-01
"156","CIS","OLD RIVER AT CONEY ISLAND","BAT VOL","VOLTS","event","SATELLITE",2004-05-21,2021-06-01
"157","CIS","OLD RIVER AT CONEY ISLAND","RIV STG","FEET","event","SATELLITE",2004-05-21,2021-06-01
"158","CIS","OLD RIVER AT CONEY ISLAND","RIVST88","FEET","event","SATELLITE",2006-02-02,2006-09-30
"159","CMR","CARMEL RIVER AT HWY 1 BRIDGE","RIV STG","FEET","event","DATA XCHG-NWS",2003-09-29,2021-06-01
"160","CRB","CIRBY CREEK - TINA WAY","RIV STG","FEET","event","DATA XCHG-NWS",1995-10-01,2021-06-01
"161","CRD","PETALUMA RIVER NR CORONA ROAD","RAINTIP","INCHES","event","DATA XCHG-NWS",1997-12-11,2021-06-01
"162","CRD","PETALUMA RIVER NR CORONA ROAD","RIV STG","FEET","event","DATA XCHG-NWS",1998-02-23,2021-06-01
"163","CRH","CROSS CK AT HOUSTON","BAT VOL","VOLTS","event","SATELLITE",2010-01-20,2021-06-01
"164","CRH","CROSS CK AT HOUSTON","RIV STG","FEET","event","SATELLITE",2010-01-20,2021-06-01
"165","CSE","COLLINSVILLE ON SACRAMENTO RIVER","BAT VOL","VOLTS","event","DATA XCHG-DWR DES",2009-02-19,2021-06-01
"166","CSE","COLLINSVILLE ON SACRAMENTO RIVER","CHLORPH","ug/L","event","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"167","CSE","COLLINSVILLE ON SACRAMENTO RIVER","EL COND","uS/cm","event","DATA XCHG-DWR DES",2009-02-19,2021-06-01
"168","CSE","COLLINSVILLE ON SACRAMENTO RIVER","RIV STG","FEET","event","DATA XCHG-DWR DES",2009-02-19,2021-06-01
"169","CSE","COLLINSVILLE ON SACRAMENTO RIVER","TEMP W","DEG F","event","DATA XCHG-DWR DES",2009-02-19,2021-06-01
"170","CSE","COLLINSVILLE ON SACRAMENTO RIVER","DIS OXY","MG/L","event","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"171","CSE","COLLINSVILLE ON SACRAMENTO RIVER","PH VAL","PH","event","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"172","CSE","COLLINSVILLE ON SACRAMENTO RIVER","TURB W","NTU","event","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"173","CSE","COLLINSVILLE ON SACRAMENTO RIVER","BAT VOL","VOLTS","hourly","DATA XCHG-DWR DES",2009-05-20,2021-06-01
"174","CSE","COLLINSVILLE ON SACRAMENTO RIVER","CHLORPH","ug/L","hourly","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"175","CSE","COLLINSVILLE ON SACRAMENTO RIVER","EL COND","uS/cm","hourly","DATA XCHG-DWR DES",2009-05-20,2021-06-01
"176","CSE","COLLINSVILLE ON SACRAMENTO RIVER","RIV STG","FEET","hourly","DATA XCHG-DWR DES",2009-05-20,2021-06-01
"177","CSE","COLLINSVILLE ON SACRAMENTO RIVER","TEMP W","DEG F","hourly","DATA XCHG-DWR DES",2009-05-20,2021-06-01
"178","CSE","COLLINSVILLE ON SACRAMENTO RIVER","DIS OXY","MG/L","hourly","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"179","CSE","COLLINSVILLE ON SACRAMENTO RIVER","PH VAL","PH","hourly","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"180","CSE","COLLINSVILLE ON SACRAMENTO RIVER","TURB W","NTU","hourly","DATA XCHG-DWR DES",2018-07-01,2021-06-01
"181","CSW","KINGS RIVER BELOW CRESCENT WEIR","RIV STG","FEET","hourly","DATA XCHG-USACE SAC",1997-01-09,2021-06-01
"182","CSW","KINGS RIVER BELOW CRESCENT WEIR","FLOW","CFS","hourly","DATA XCHG-USACE SAC",1997-01-15,2012-12-31
"183","CVL","WEST WALKER NR HWY 395 BLW LITTLE WALKER","RIV STG","FEET","event","DATA XCHG-NWS",2001-03-19,2021-06-01
"184","CVL","WEST WALKER NR HWY 395 BLW LITTLE WALKER","STAGE F","FEET","hourly","DATA XCHG-NWS",2009-10-07,2009-10-07
"185","CWC","COTTONWOOD CK BLW HWY 99","BAT VOL","VOLTS","event","SATELLITE",2018-01-07,2021-06-01
"186","CWC","COTTONWOOD CK BLW HWY 99","RAINTIP","INCHES","event","SATELLITE",2018-01-07,2021-06-01
"187","CWC","COTTONWOOD CK BLW HWY 99","RIV STG","FEET","event","SATELLITE",2018-01-07,2021-06-01
"188","CYG","CYGNUS-CORDELIA SLOUGH","BAT VOL","VOLTS","event","DATA EXCHANGE",2009-02-19,2021-06-01
"189","CYG","CYGNUS-CORDELIA SLOUGH","EL COND","uS/cm","event","DATA EXCHANGE",2009-02-19,2021-06-01
"190","CYG","CYGNUS-CORDELIA SLOUGH","RIV STG","FEET","event","DATA EXCHANGE",2009-02-19,2021-06-01
"191","CYG","CYGNUS-CORDELIA SLOUGH","TEMP W","DEG F","event","DATA EXCHANGE",2009-02-19,2021-06-01
"192","DBD","DISCOVERY BAY AT DISCOVERY BAY BLVD","RIV STG","FEET","event","SATELLITE",2004-12-14,2021-06-01
"193","DBD","DISCOVERY BAY AT DISCOVERY BAY BLVD","BAT VOL","VOLTS","hourly","SATELLITE",2004-12-14,2021-06-01
"194","DBD","DISCOVERY BAY AT DISCOVERY BAY BLVD","RIVST88","FEET","event","COMPUTED",2006-02-02,2006-09-30
"195","DBI","DISCOVERY BAY AT INDIAN SLOUGH","RIV STG","FEET","event","SATELLITE",2004-12-14,2021-06-01
"196","DBI","DISCOVERY BAY AT INDIAN SLOUGH","BAT VOL","VOLTS","hourly","SATELLITE",2004-12-14,2021-06-01
"197","DBI","DISCOVERY BAY AT INDIAN SLOUGH","RIVST88","FEET","event","COMPUTED",2006-02-01,2006-09-30
"198","DBT","DUTCH BILL CREEK AT WESTMINSTER WOODS","RIV STG","FEET","event","SATELLITE",2016-02-29,2021-06-01
"199","DCD","DUCK CK DIVERSION","BAT VOL","VOLTS","event","SATELLITE",2010-01-20,2021-06-01
"200","DCD","DUCK CK DIVERSION","DIVERSN","CFS","event","SATELLITE",2010-01-20,2021-06-01
"201","DCD","DUCK CK DIVERSION","RIV STG","FEET","event","SATELLITE",2010-01-20,2021-06-01
"202","DCH","DEER CREEK AT HWY 32","FLOW","CFS","event","COMPUTED",1998-10-03,2004-11-16
"203","DCH","DEER CREEK AT HWY 32","RIV STG","FEET","event","SATELLITE",1998-10-03,2004-11-16
"204","DCH","DEER CREEK AT HWY 32","BAT VOL","VOLTS","hourly","SATELLITE",1998-10-15,2004-11-16
"205","DCH","DEER CREEK AT HWY 32","FLOW","CFS","hourly","COMPUTED",1999-01-25,2004-11-16
"206","DCH","DEER CREEK AT HWY 32","RIV STG","FEET","hourly","SATELLITE",1998-10-15,2004-11-16
"207","DCH","DEER CREEK AT HWY 32","TEMP W","DEG F","hourly","SATELLITE",1998-10-15,2004-11-16
"208","DFR","DRY CK AT FIELDS RD","BAT VOL","VOLTS","event","SATELLITE",2017-10-03,2021-06-01
"209","DFR","DRY CK AT FIELDS RD","RAIN","INCHES","event","SATELLITE",2017-10-03,2021-06-01
"210","DFR","DRY CK AT FIELDS RD","REL HUM","%","event","SATELLITE",2017-10-03,2021-06-01
"211","DFR","DRY CK AT FIELDS RD","RIV STG","FEET","event","SATELLITE",2017-10-03,2021-06-01
"212","DFR","DRY CK AT FIELDS RD","RIVSTGA","FEET","event","SATELLITE",2019-04-04,2021-06-01
"213","DFR","DRY CK AT FIELDS RD","TEMP","DEG F","event","SATELLITE",2017-10-03,2021-06-01
"214","DFR","DRY CK AT FIELDS RD","WIND DR","DEG","event","SATELLITE",2017-10-03,2021-06-01
"215","DFR","DRY CK AT FIELDS RD","WIND SP","MPH","event","SATELLITE",2017-10-03,2021-06-01
"216","DGL","DOUGHTY CUT ABOVE GRANT LINE CANAL","BAT VOL","VOLTS","event","SATELLITE",2012-04-27,2021-06-01
"217","DGL","DOUGHTY CUT ABOVE GRANT LINE CANAL","EL COND","uS/cm","event","SATELLITE",2002-11-26,2021-06-01
"218","DGL","DOUGHTY CUT ABOVE GRANT LINE CANAL","RIV STG","FEET","event","SATELLITE",2001-04-18,2021-06-01
